Date,Open,Close,Volume (BTC)
2016-08-31,575.88,570.75,3917.82520705
2016-09-01,570.75,571.05,2833.21048959
2016-09-02,571.05,572.0,2996.65467508
2016-09-03,572.0,595.01,4645.77734019
2016-09-04,596.25,603.72,3951.19879148
2016-09-05,605.72,603.48,3838.1755876
2016-09-06,604.98,608.16,4038.33754573
2016-09-07,608.93,615.16,4502.71072652
2016-09-08,614.44,625.67,4354.95251639
2016-09-09,625.67,622.01,3274.07565086
2016-09-10,622.01,621.65,1527.83753513
2016-09-11,621.65,606.32,5336.9515717
2016-09-12,604.08,608.04,3512.28237051
2016-09-13,606.4,607.46,3471.52717479
2016-09-14,607.45,608.5,2895.4604519
2016-09-15,608.5,606.71,3085.66694768
2016-09-16,606.65,605.69,2612.88007635
2016-09-17,607.04,604.1,1117.48707654
2016-09-18,602.93,608.0,1307.05511292
2016-09-19,608.0,608.72,2476.59039745
2016-09-20,608.73,600.94,2680.44760563
2016-09-21,600.85,595.46,3671.19191264
2016-09-22,595.46,595.41,2421.45482616
2016-09-23,595.42,601.42,4007.88275861
2016-09-24,600.47,599.33,1140.23303781
2016-09-25,600.05,598.98,1086.83579854
2016-09-26,598.95,606.47,4056.39371551
2016-09-27,606.7,604.26,3055.81637038
2016-09-28,605.07,603.95,2202.74962821
2016-09-29,603.93,605.6,2718.01919323
2016-09-30,605.59,608.23,2633.44489285
2016-10-01,608.23,612.98,1458.84374513
2016-10-02,612.98,608.6,1407.0592925
2016-10-03,608.6,611.16,2245.89234656
2016-10-04,612.84,607.19,2955.42383816
2016-10-05,607.19,608.49,2410.92611361
2016-10-06,608.01,610.25,2039.82035671
2016-10-07,610.25,614.88,4033.82185438
2016-10-08,614.88,614.34,888.66002111
2016-10-09,614.34,613.06,1174.26113887
2016-10-10,612.12,616.0,2295.52302846
2016-10-11,616.37,639.0,8087.31933662
2016-10-12,638.3,634.5,2658.52776787
2016-10-13,634.5,634.02,2381.50067975
2016-10-14,635.16,638.2,3154.82335026
2016-10-15,638.2,635.96,1421.85361066
2016-10-16,635.26,638.97,1289.53724609
2016-10-17,638.97,636.91,3958.0365344
2016-10-18,636.96,635.95,2731.17634977
2016-10-19,635.95,627.98,4472.89998392
2016-10-20,627.84,628.89,2040.00987473
2016-10-21,628.05,629.0,3050.50932903
2016-10-22,628.99,654.52,4351.61947818
2016-10-23,654.52,648.74,2535.01019265
2016-10-24,648.71,648.6,4679.0014143
2016-10-25,649.03,651.97,6106.91617897
2016-10-26,651.97,675.11,6716.23146341
2016-10-27,674.63,684.71,4545.43620804
2016-10-28,684.68,685.91,3574.07546814
2016-10-29,685.91,711.13,4034.88400838
2016-10-30,711.1,697.23,3752.5253719
2016-10-31,697.1,697.01,4655.89251212
2016-11-01,697.04,726.6,6570.01885443
2016-11-02,726.6,742.0,4320.53171915
